"","location"
"9416","KARNAFULI GOVERNMENT QUARTER"
"9417","BANK TOWN,SAVAR UNION"
"9418","MBL CENTER , WEST DHANMONDI"
"9419","NETHERLANDS LANGUAGE INSTITUTION , ROAD 90 , GULSHAN NORTH AVE , GULSHAN 2"
"9420","FARHAN DEPARTMEMTAL STPRE , ZAFRABAD , MOHAMMADPUR"
"9421","ROAD 63 , GULSHAN 2 , GULSHAN"
"9422","OPEX GROUP , LINE 2, MIRPUR 13"
"9423","CM SERVICING CENTER , SHAHEED TAZUDDIN AVENUE , MOHAKHALI , GULSHAN"
"9424","INTERSTUDIO LTD,MADANI AVENUR,GULSHAN 2,GULSHAN"
"9425","VISION OPTICS , GREEN ROAD , DHANMONDI"
"9426","MIRPUR 2 NURSERY , MIRPUR GOVT. PRIMARY SCHOOL , SECTION 2"
"9427","COUNTRY SIDE ROOFTOP , BLOCK D, MIRPUR 2"
"9428","SHWAPNO , 76/A , ROAD 11 ,BANANI , GULSHAN"
"9429","HOUSE 51, ROAD 19 , SECTOR 11 , UTTARA"
"9430","446, ROAD 6A, MIRPUR DOHS , MIRPUR 12"
"9431","BREEZE RESTAURANT ROAD 16 , NIKUNJO 2"
"9432","AMAZING PARADISE , SOUTH BADDA"
"9433","h 484, mufti abdur rahman rd , block d , bahsundhara r/a"
"9434","JAMUNA FUTURE PARK,ENTRY WAY,PRAGATI SARANI,BASUNDHARA"
"9435","ANWAR KHAN MODERN MEDICAL COLLEGE,RD 7,DHANMONDI"
"9436","north south university (nsu)"
"9437","UNIMART EXPRESS , UNITED CITY , MADANI AVENUE , VATARA"
"9438","SIKDER BARI GOVT OFFICERS QUARTER PLAYGROUND , SECTOR 8 , ROAD 8 , UTTARA , KOTBARI BAZAR , SECTOR 8"
"9439","260/1 , MALIBAGH COLLEGE ROAD , MALIBAGH MOR , MALIBAGH"
"9440","MOSLEM POULTRY FEED , BASAN"
"9441","MONI STORE,NOBODOY HOUSING,MOHAMMADPUR"
"9442","ALEYA VILLA,DHOLIPARA,UTTARA"
"9443","road 22,MOHAKHALI DOHS,SHER E BANGLA NAGAR"
"9444","SHYAMOLI BUS COUNTER , H 167 , TOYENBEE CIRCULAR RD , MOTIJHEEL"
"9445","SULRAN HAJI , 102 SONA MIA MOHOLLA , K. B. . ROAD , DAILPOTTI , KERANIGANJ SUBDISTRICT"
"9446","NORTH CHASHARA,CHASARA,NARAYANGANJ SADAR,NARAYANGANJ,1400"
"9447","H 275,RD 8,BLOCK D,BASUNDHARA R/A"
"9448","ALHAZ MOKBUL HOSSAIN UNIVERSITY  COLLEGE , SADEK KHAN RD , MOHAMMADPUR"
"9449","VITA HEALTH MEDICAL CENTRE , BLOCK E , LALMATIA"
"9450","NOORJAHAN HERITAGE,RUPNAGAR RESIDENTIAL AREA,MIRPUR"
"9451","URBAN AMIRAS NILOY , SECTOR 1, UTTARA"
"9452","WALTON HEADQUATER NEW , RD 8 , BLOCK D , BASUNDHARA R/A"
"9453","AD DIN WOMEN MEDICAL COLLEGE & HOSPITAL , MOGHBAZAR"
"9454","UNIVERSITY MEDICAL COLLEGE & HOSPITAL"
"9455","THAT FASHION , MUKTOBANGLA SHOPPING COMPLEX , MIRPUR 1"
"9456","BANGLADESH CHINA FRIENDSHI[ EXHIBITION,SECTOR 4,PURBACHAL"
"9457","BRAC UNIVERSITY,BIR UTTAM AK KHANDAKAR RD,MOHAKHALI"
"9458","ABID BURGER HOUSE , ABDULLAHPUR BUS STOP , UTTARA"
"9459","H 146/3 , WAPDA RD , WEST RAMPURA"
"9460","NAYABAZAR PAPER MARKET , NAYA BAZAR RD , BABU BAZAR"
"9461","WOODEN SPOON,NSU ROAD 1ST GATE,BASUNDHARA R/A"
"9462","TEACHING & TRAINING PET HOSPITAL; AND RESEARCH CENTER , SECTOR 18 , PURBACHAL"
"9463","KIDNEY FOUNDATION BANGLADESH,MIRPUR COLLEGE RD,MIRPUR 2"
"9464","MIRPUR DOHS SHOPPING COMPLEX,MIRPUR DOHS,DHAKA"
"9465","POPULAR DIAGONISTIC CENTER,BIR UTTAM RAFIQUL ISLAM AVE,NORTH BADDA"
"9466","FARHANA SHARMIN , BLOCK L , BASHUNDHARAB R/A"
"9467","WEDDING MOMENTS , MOHAKHALI DOHS"
"9468","49/5/F/2,BOUBAZAR GOLI,DHANMONDI"
"9469","BARDEM GENERAL HOSPITAL 2, FOR WOMEN AND CHILDREN , SEGUNBAGICHA RD"
"9470","MOSTAKIM KABAB (1982) MOHAMMADPUR , GENEVA CAMP"
"9471","H 308/4, TILAPARA RD, KHILGAON"
"9472","H 449 , RD 6 , BLOCK D , BASUNDHARA R/A"
"9473","A. GAFUR & RAHIM VILLA , CHADD UDDAN HOUSING , MOHAMMADPUR"
"9474","RESONANCE DHAKA 161/17 UTTAR BHASANTEK ROAD MATIKATA SECTION 13"
"9475","BRTA , DIYA BARI , UTTARA"
"9476","APON JEWELLERS,SUVASTU IMAM SQUARE,GULSHAN 1,GULSHAN"
"9477","BASHUDNHARA CITY SHOPPING COMPLEX , PANTHAPATH N, DHAKA"
