,id,original_address,cleaned_address,matched_variation,latitude,longitude,provider
7,9007,"ROAD 12,BANANI","ROAD 12,BANANI","ROAD 12,BANANI, Dhaka, Bangladesh",23.7792728,90.4143312,Nominatim
13,9013,"H 88 DINANATH SEN RD ,  GANDARIA","H 88 DINANATH SEN RD ,  GANDARIA","H 88 DINANATH SEN RD ,  GANDARIA, Dhaka, Bangladesh",23.7975188,90.4166052,OpenCage
25,9025,HOUSE 207 ROAD 03 BLOCK B BASHUNDHARA R/A,HOUSE 207 ROAD 03 BLOCK B BASHUNDHARA R/A,"HOUSE 207 ROAD 03 BLOCK B BASHUNDHARA R/A, Dhaka, Bangladesh",23.7109566,90.4228009,OpenCage
32,9032,"ROAD 12 , BANANI","ROAD 12 , BANANI","ROAD 12 , BANANI, Dhaka, Bangladesh",23.7792728,90.4143312,Nominatim
33,9033,"JAHIR GENERAL STORE,35/B,SALIM UDDIN MARKET RD,SENPARA PARBATA,AHMED NAGAR","JAHIR GENERAL STORE,35/B,SALIM UDDIN MARKET RD,SENPARA PARBATA,AHMED NAGAR","JAHIR GENERAL STORE,35/B,SALIM UDDIN MARKET RD,SENPARA PARBATA,AHMED NAGAR, Dhaka, Bangladesh",23.80503,90.36883,OpenCage
38,9038,"DR. BASIL ANWAR , EYE SPECIALIST AND PHACO SURGEON , JIGATOLA , DHANMONDI","DR. BASIL ANWAR , EYE SPECIALIST AND PHACO SURGEON , JIGATOLA , DHANMONDI",JIGATOLA DHANMONDI,23.7462942,90.37776327388092,Nominatim
39,9039,"HOTEL SARINA DHAKA,KAMAL ATATURK AVENUE,DHAKA","HOTEL SARINA DHAKA,KAMAL ATATURK AVENUE,DHAKA","HOTEL SARINA DHAKA,KAMAL ATATURK AVENUE,DHAKA, Dhaka, Bangladesh",23.7104,90.40744,OpenCage
61,9061,"CARS,MOKARROM BUILDING RD,UNIVERSITY OF DHAKA","CARS,MOKARROM BUILDING RD,UNIVERSITY OF DHAKA","CARS,MOKARROM BUILDING RD,UNIVERSITY OF DHAKA, Dhaka, Bangladesh",23.7104,90.40744,OpenCage
62,9062,"KOWBA LAUNDRY AND DRY CLEANERS,BAITUL AMAN HOUSING SOCIETY,ADABOR","KOWBA LAUNDRY AND DRY CLEANERS,BAITUL AMAN HOUSING SOCIETY,ADABOR",BAITUL AMAN HOUSING SOCIETY ADABOR,23.7709656,90.35648562261473,Nominatim
72,9072,MANIKNAGAR MODEL HIGH SCHOOL,MANIKNAGAR MODEL HIGH SCHOOL,"MANIKNAGAR MODEL HIGH SCHOOL, Dhaka, Bangladesh",23.7221142,90.43467186598878,Nominatim
77,9077,AARONG RD 11 BANANI,AARONG RD 11 BANANI,"AARONG RD 11 BANANI, Dhaka, Bangladesh",23.7901076,90.4107286,Nominatim
79,9079,"BASHUNDHARA  K BLOCK FIELD , DHAKA , BANGLADESH","BASHUNDHARA  K BLOCK FIELD , DHAKA , BANGLADESH","BASHUNDHARA  K BLOCK FIELD , DHAKA , BANGLADESH, Dhaka, Bangladesh",23.7104,90.40744,OpenCage
86,9086,SCIENCE LAB POLICE BOX,SCIENCE LAB POLICE BOX,"SCIENCE LAB POLICE BOX, Dhaka, Bangladesh",23.7388054,90.3832282,Nominatim
90,9090,"CAPITAL SIRAJ CENTER , NEW BAILY RD","CAPITAL SIRAJ CENTER , NEW BAILY RD","CAPITAL SIRAJ CENTER , NEW BAILY RD, Dhaka, Bangladesh",23.74162915,90.41054554160928,Nominatim
91,9091,"ROAD 5,BLOCK D,AFTABNAGAR","ROAD 5,BLOCK D,AFTABNAGAR","ROAD 5,BLOCK D,AFTABNAGAR, Dhaka, Bangladesh",23.761598,90.43124745,Nominatim
92,9092,"TASTY TREAT PANTHAPATH , 44/9 , WEST PANTHAPATH","TASTY TREAT PANTHAPATH , 44/9 , WEST PANTHAPATH","TASTY TREAT PANTHAPATH , 44/9 , WEST PANTHAPATH, Dhaka, Bangladesh",23.7559936,90.3896583,OpenCage
104,9104,"UNIVERSAL MEDICAL COLLEGE HOSPITAL , AIRPORT RD , MOHAKHALI","UNIVERSAL MEDICAL COLLEGE HOSPITAL , AIRPORT RD , MOHAKHALI","UNIVERSAL MEDICAL COLLEGE HOSPITAL , AIRPORT RD , MOHAKHALI, Dhaka, Bangladesh",23.77663255,90.395389435862,Nominatim
105,9105,"CSD MOHAKHALI DOHS,RD 21,MOHAKHALI DOHS","CSD MOHAKHALI DOHS,RD 21,MOHAKHALI DOHS","CSD MOHAKHALI DOHS,RD 21,MOHAKHALI DOHS, Dhaka, Bangladesh",23.7847012,90.3968614,Nominatim
111,9111,"DECENT PASTRY SHOP, RANKIN STREET,WARI","DECENT PASTRY SHOP, RANKIN STREET,WARI","DECENT PASTRY SHOP, RANKIN STREET,WARI, Dhaka, Bangladesh",23.7188783,90.4164219,Nominatim
121,9121,"20/3 , ROAD NO. 1 , MOHAMMADI HOUSING LIMITED , MOHAMMADPUR","20/3 , ROAD NO. 1 , MOHAMMADI HOUSING LIMITED , MOHAMMADPUR","20/3 , ROAD NO. 1 , MOHAMMADI HOUSING LIMITED , MOHAMMADPUR, Dhaka, Bangladesh",23.7613115,90.3535406,Nominatim
124,9124,"ARUN ALO , 79 , SIDDESHWARI ROAD , WIRELESS , PALTAN","ARUN ALO , 79 , SIDDESHWARI ROAD , WIRELESS , PALTAN","ARUN ALO , 79 , SIDDESHWARI ROAD , WIRELESS , PALTAN, Dhaka, Bangladesh",23.73625,90.41426,OpenCage
125,9125,"STANDARD CHARTERED BANK ( SCB ) , 67 ,GULSHAN AVENUE , BANANI , GULSHAN","STANDARD CHARTERED BANK ( SCB ) , 67 ,GULSHAN AVENUE , BANANI , GULSHAN","STANDARD CHARTERED BANK ( SCB ) , 67 ,GULSHAN AVENUE , BANANI , GULSHAN, Dhaka, Bangladesh",23.7840139,90.4166363,Nominatim
133,9133,"IQBAL HOSSAIN CATERING SERVICE , RD 6/A, NOBODOY  HOUSING SOCIETY , MOHAMMADPUR","IQBAL HOSSAIN CATERING SERVICE , RD 6/A, NOBODOY  HOUSING SOCIETY , MOHAMMADPUR",HOUSING SOCIETY MOHAMMADPUR,23.7697872,90.36297351865782,Nominatim
134,9134,"HOUSE 73 ROAD 17A, BLOCK E , BANANI DHAKA","HOUSE 73 ROAD 17A, BLOCK E , BANANI DHAKA","HOUSE 73 ROAD 17A, BLOCK E , BANANI DHAKA, Dhaka, Bangladesh",23.7104,90.40744,OpenCage
135,9135,DHAKA MEDICAL COLLEGE,DHAKA MEDICAL COLLEGE,"DHAKA MEDICAL COLLEGE, Dhaka, Bangladesh",23.7264545,90.3972526,Nominatim
145,9145,"SHAHID BAKI SARAK , CHOWDHURIPARA , MALIBAGH","SHAHID BAKI SARAK , CHOWDHURIPARA , MALIBAGH","SHAHID BAKI SARAK , CHOWDHURIPARA , MALIBAGH, Dhaka, Bangladesh",23.75175877780981,90.42274837676398,Nominatim
150,9150,"KHILKHET NIKUNJA 2 MASJID , ROAD 5 , NIKUNJA 2","KHILKHET NIKUNJA 2 MASJID , ROAD 5 , NIKUNJA 2","KHILKHET NIKUNJA 2 MASJID , ROAD 5 , NIKUNJA 2, Dhaka, Bangladesh",23.8303644,90.4178435,Nominatim
154,9154,"GULBAG WATER PUMP , ATOR BIBIR LN  PABNA COLONY ROADF , MALIBAGH","GULBAG WATER PUMP , ATOR BIBIR LN  PABNA COLONY ROADF , MALIBAGH",MALIBAGH,23.7464464,90.4159433,Nominatim
159,9159,"RD 7 , BLOCK F , BANANI","RD 7 , BLOCK F , BANANI","RD 7 , BLOCK F , BANANI, Dhaka, Bangladesh",23.7883599,90.4021634,OpenCage
170,9170,"HOTEL VICTORY , NAYA PALTAN RD , NAYA PALTAN","HOTEL VICTORY , NAYA PALTAN RD , NAYA PALTAN","HOTEL VICTORY , NAYA PALTAN RD , NAYA PALTAN, Dhaka, Bangladesh",23.7362321,90.4135043,Nominatim
171,9171,IBRAHIMPUR BAZAR,IBRAHIMPUR BAZAR,"IBRAHIMPUR BAZAR, Dhaka, Bangladesh",23.799246,90.3818302,Nominatim
182,9182,"82, AHMED AKBAR SOBHAN AVENUE , BLOCK D , BASHUDNHARA R/A","82, AHMED AKBAR SOBHAN AVENUE , BLOCK D , BASHUDNHARA R/A","82, AHMED AKBAR SOBHAN AVENUE , BLOCK D , BASHUDNHARA R/A, Dhaka, Bangladesh",23.81994,90.4339121,OpenCage
189,9189,"15/1A , BLOCK F , HAJI CHINO MIA ROAD , TIKKAPARA , MOHAMMADPUR","15/1A , BLOCK F , HAJI CHINO MIA ROAD , TIKKAPARA , MOHAMMADPUR","15/1A , BLOCK F , HAJI CHINO MIA ROAD , TIKKAPARA , MOHAMMADPUR, Dhaka, Bangladesh",23.7676524,90.359193,OpenCage
194,9194,"AMERICAN WELLNESS CENTER,102,SUKRABAD ROAD,DHAKA 1207,BANGLADESH","AMERICAN WELLNESS CENTER,102,SUKRABAD ROAD,DHAKA 1207,BANGLADESH","AMERICAN WELLNESS CENTER,102,SUKRABAD ROAD,DHAKA 1207,BANGLADESH, Dhaka, Bangladesh",23.7104,90.40744,OpenCage
196,9196,"WARSI LAJABAB FOODS & CAFE,NARINDA,WARI","WARSI LAJABAB FOODS & CAFE,NARINDA,WARI",NARINDA WARI,23.710897,90.4220765,Nominatim
197,9197,"151/3/C,WAPDA ROAD,KHILKANAN R/A,RAMPURA,1000","151/3/C,WAPDA ROAD,KHILKANAN R/A,RAMPURA,1000","151/3/C,WAPDA ROAD,KHILKANAN R/A,RAMPURA,1000, Dhaka, Bangladesh",23.729,90.4112,OpenCage
198,9198,"INTERNATIONAL CONVENTION CITY BASHUDNHARA (ICCB )PURBACHAL EXPRESS HIGHWAYY , DHAKA BANGLADESH","INTERNATIONAL CONVENTION CITY BASHUDNHARA (ICCB )PURBACHAL EXPRESS HIGHWAYY , DHAKA BANGLADESH","INTERNATIONAL CONVENTION CITY BASHUDNHARA (ICCB )PURBACHAL EXPRESS HIGHWAYY , DHAKA BANGLADESH, Dhaka, Bangladesh",23.7104,90.40744,OpenCage
216,9216,"house 96a, road 7 , block f, banani , dhaka","house 96a, road 7 , block f, banani , dhaka","house 96a, road 7 , block f, banani , dhaka, Dhaka, Bangladesh",23.7104,90.40744,OpenCage
228,9228,"RD 30,MOHAKHALI DOHS","RD 30,MOHAKHALI DOHS","RD 30,MOHAKHALI DOHS, Dhaka, Bangladesh",23.7835616,90.39184045073684,Nominatim
229,9229,"RD 1 A,SECTOR 5,UTTARA","RD 1 A,SECTOR 5,UTTARA","RD 1 A,SECTOR 5,UTTARA, Dhaka, Bangladesh",23.86453297882134,90.39139385038403,Nominatim
230,9230,"RD 2B , SECTOR 4 , UTTARA","RD 2B , SECTOR 4 , UTTARA","RD 2B , SECTOR 4 , UTTARA, Dhaka, Bangladesh",23.87479525,90.39374885,Nominatim
231,9231,"AL BARAKAH GENERAL HOSPITAL,OUTER CIRCULAR RD,RAJARBAG,SHANTIBAGH,MALIBAGH","AL BARAKAH GENERAL HOSPITAL,OUTER CIRCULAR RD,RAJARBAG,SHANTIBAGH,MALIBAGH","AL BARAKAH GENERAL HOSPITAL,OUTER CIRCULAR RD,RAJARBAG,SHANTIBAGH,MALIBAGH, Dhaka, Bangladesh",23.7410273,90.4186838,Nominatim
236,9236,"ANWAR KHAN MODERN MEDICAL COLLEGE HOSPITAL,H 17,MIRPUR RD,DHANMONDI","ANWAR KHAN MODERN MEDICAL COLLEGE HOSPITAL,H 17,MIRPUR RD,DHANMONDI",H 17 MIRPUR RD DHANMONDI,23.74537103732329,90.3817467098132,Nominatim
263,9263,"SETU BHABAN,NEW AIRPORT ROAD,MOHAKHALI,GULSHAN","SETU BHABAN,NEW AIRPORT ROAD,MOHAKHALI,GULSHAN","SETU BHABAN,NEW AIRPORT ROAD,MOHAKHALI,GULSHAN, Dhaka, Bangladesh",23.7847951,90.39961665,Nominatim
265,9265,"BANGLADESH ISLAMI BANK CHATRADHIBIR CENTRAL OFFICE , PURANA PALTAN","BANGLADESH ISLAMI BANK CHATRADHIBIR CENTRAL OFFICE , PURANA PALTAN","BANGLADESH ISLAMI BANK CHATRADHIBIR CENTRAL OFFICE , PURANA PALTAN, Dhaka, Bangladesh",23.73625,90.41426,OpenCage
269,9269,"JOWAR SHAHARA BAZAR MASJID , H A 4 , BAZAR RD , JOAR SHAHARA","JOWAR SHAHARA BAZAR MASJID , H A 4 , BAZAR RD , JOAR SHAHARA",RD JOAR SHAHARA,23.815687206080465,90.41690314859932,Nominatim
278,9278,"BITS AND BITS CAFE , H 86 , GAUSUL AZAM AVE , SECTOR 14 , UTTARA","BITS AND BITS CAFE , H 86 , GAUSUL AZAM AVE , SECTOR 14 , UTTARA",H 86 GAUSUL AZAM AVE SECTOR 14 UTTARA,23.869502635006207,90.3935455562256,Nominatim
283,9283,"4/1, SATMASJID ROAD , MOHAMMADPUR","4/1, SATMASJID ROAD , MOHAMMADPUR","4/1, SATMASJID ROAD , MOHAMMADPUR, Dhaka, Bangladesh",23.749726521825863,90.3690340741344,Nominatim
287,9287,"HOUSE 60,ROAD 18,BLOCK J,BANANI,DHAKA","HOUSE 60,ROAD 18,BLOCK J,BANANI,DHAKA","HOUSE 60,ROAD 18,BLOCK J,BANANI,DHAKA, Dhaka, Bangladesh",23.7104,90.40744,OpenCage
299,9299,"217,KAFRUL TOWER,EAST KAFRUL,DHAKA 1206","217,KAFRUL TOWER,EAST KAFRUL,DHAKA 1206","217,KAFRUL TOWER,EAST KAFRUL,DHAKA 1206, Dhaka, Bangladesh",23.8179,90.4103,OpenCage
300,9300,"DARUSSALAM TOWER , MIRPUR ROAD","DARUSSALAM TOWER , MIRPUR ROAD","DARUSSALAM TOWER , MIRPUR ROAD, Dhaka, Bangladesh",23.77843615,90.35604084070364,Nominatim
301,9301,"ASIA CINEMA HALL,DARUS SALAM RD,MIRPUR 1","ASIA CINEMA HALL,DARUS SALAM RD,MIRPUR 1","ASIA CINEMA HALL,DARUS SALAM RD,MIRPUR 1, Dhaka, Bangladesh",23.7829296,90.3521606,Nominatim
303,9303,"TAX,SECTOR 3,UTTARA","TAX,SECTOR 3,UTTARA","TAX,SECTOR 3,UTTARA, Dhaka, Bangladesh",23.8812216,90.3914777,OpenCage
309,9309,"APON COFEE HOUSE,H 381/B,SHAHID BAKI SARAK,TALTOLA,KHILGAON","APON COFEE HOUSE,H 381/B,SHAHID BAKI SARAK,TALTOLA,KHILGAON",TALTOLA KHILGAON,23.7515626,90.42465191158236,Nominatim
324,9324,"RUPAYAN LOTUS APARTMENT , SEGUNBAGICHA ROAD , RAMNA 1000","RUPAYAN LOTUS APARTMENT , SEGUNBAGICHA ROAD , RAMNA 1000","RUPAYAN LOTUS APARTMENT , SEGUNBAGICHA ROAD , RAMNA 1000, Dhaka, Bangladesh",23.729,90.4112,OpenCage
326,9326,"ADABOR ROAD 4,ABDUL RAFIQ HOUSING,ADABAR","ADABOR ROAD 4,ABDUL RAFIQ HOUSING,ADABAR","ADABOR ROAD 4,ABDUL RAFIQ HOUSING,ADABAR, Dhaka, Bangladesh",23.77219537220357,90.35730423283654,Nominatim
329,9329,"mirpur 6 no bazar , mirpur 6","mirpur 6 no bazar , mirpur 6",bazar mirpur 6,23.810498,90.3664167,Nominatim
330,9330,"PEACE GROUND 407 , BLOCK D, BASHUNDHARA R/ A","PEACE GROUND 407 , BLOCK D, BASHUNDHARA R/ A",BLOCK D BASHUNDHARA R/ A,23.8166725,90.42942658076268,Nominatim
331,9331,"NADDA PARA,BOISAKHE MOR,HAZI CAMP RD,NADDA PARA,DAKSHINKHAN","NADDA PARA,BOISAKHE MOR,HAZI CAMP RD,NADDA PARA,DAKSHINKHAN",PARA DAKSHINKHAN,23.861473,90.4264484,Nominatim
332,9332,"BASHUNDHARA GENERAL STORE,FAKIRAPOOL RD,FAKIRAPOOL","BASHUNDHARA GENERAL STORE,FAKIRAPOOL RD,FAKIRAPOOL",FAKIRAPOOL RD FAKIRAPOOL,23.733007117801744,90.41544050665308,Nominatim
333,9333,"SONAR BANGLA,MATUAIL,JATRABARI","SONAR BANGLA,MATUAIL,JATRABARI",MATUAIL JATRABARI,23.7126985,90.4525271,Nominatim
334,9334,"JODU MOLLA COMPLEX,H 36/1,BENAROSHI PALLI RD,BLOCK B,MIRPUR 10","JODU MOLLA COMPLEX,H 36/1,BENAROSHI PALLI RD,BLOCK B,MIRPUR 10",RD BLOCK B MIRPUR 10,23.8082843,90.372807,Nominatim
335,9335,"ARTIFACT TRADING LIMITED , ROAD 18 , SECTOR 7 , UTTARA","ARTIFACT TRADING LIMITED , ROAD 18 , SECTOR 7 , UTTARA",ROAD 18 SECTOR 7 UTTARA,23.87219697165031,90.39440932037893,Nominatim
336,9336,"ROAD 17A,BANANI","ROAD 17A,BANANI","ROAD 17A,BANANI, Dhaka, Bangladesh",23.7921919,90.4088081,Nominatim
338,9338,"BESIDE PADMA GARMENTS , NORTH BEGUNBARI , TEJGAON","BESIDE PADMA GARMENTS , NORTH BEGUNBARI , TEJGAON",NORTH BEGUNBARI TEJGAON,23.761276391176896,90.40591775167007,Nominatim
339,9339,"TURKEY BLISS , ROAD 11, BLOCK F, BANANI","TURKEY BLISS , ROAD 11, BLOCK F, BANANI",BLOCK F BANANI,23.7876855,90.4013312,Nominatim
341,9341,"HOUSE 3,ROAD 3,SECTOR 4,UTTARA","HOUSE 3,ROAD 3,SECTOR 4,UTTARA","HOUSE 3,ROAD 3,SECTOR 4,UTTARA",23.861739491136916,90.39638724493264,Nominatim
342,9342,"RD 18 , ADABOR","RD 18 , ADABOR","RD 18 , ADABOR, Dhaka, Bangladesh",23.7629379,90.3567682,Nominatim
343,9343,"SAMSHUR NAHAR RD,MIDDLE AZAZMPUR,DAKSHINKHAN","SAMSHUR NAHAR RD,MIDDLE AZAZMPUR,DAKSHINKHAN",DAKSHINKHAN,23.8604152,90.4268187,Nominatim
344,9344,"UNITED INTERNATIONAL UNIVERSITY MAIN CAMPUS,VATARA BRIDGE","UNITED INTERNATIONAL UNIVERSITY MAIN CAMPUS,VATARA BRIDGE",VATARA BRIDGE,23.7998305,90.44548495,Nominatim
346,9346,"JAHANGIRNAGAR HOSPITAL , DAYAGANJ RD , SWAMIBAG","JAHANGIRNAGAR HOSPITAL , DAYAGANJ RD , SWAMIBAG",DAYAGANJ RD SWAMIBAG,23.7134733,90.4222305,Nominatim
347,9347,"SHAPLA BUILDING,MIST MIRPUR CANTONMENT","SHAPLA BUILDING,MIST MIRPUR CANTONMENT",BUILDING MIST MIRPUR CANTONMENT,23.83895015,90.3588015300081,Nominatim
349,9349,"KALABAGAN WEST BUS STOP,KALABAGAN OVER BRIDGE,KALABAGAN","KALABAGAN WEST BUS STOP,KALABAGAN OVER BRIDGE,KALABAGAN",BRIDGE KALABAGAN,23.7485213,90.3798152,Nominatim
350,9350,"SKY VIEW TRADE CENTER,SHANTINAGAR,KAKRAIL","SKY VIEW TRADE CENTER,SHANTINAGAR,KAKRAIL",SHANTINAGAR KAKRAIL,23.7415661,90.4120606,Nominatim
351,9351,"SQUARE TOWER , PRIANGON GOLI , DHANMONDI","SQUARE TOWER , PRIANGON GOLI , DHANMONDI","SQUARE TOWER , PRIANGON GOLI , DHANMONDI, Dhaka, Bangladesh",23.73768095,90.38462745016967,Nominatim
352,9352,"SAHDIN TELECOM ., BORO MOGBAZAR","SAHDIN TELECOM ., BORO MOGBAZAR",. BORO MOGBAZAR,23.7458916,90.40801361383647,Nominatim
353,9353,"AYESHA ABED LIBRARY,BRAC UNIVERSITY,SOUTH BADDA","AYESHA ABED LIBRARY,BRAC UNIVERSITY,SOUTH BADDA",BRAC UNIVERSITY SOUTH BADDA,23.7733146,90.42437100116996,Nominatim
355,9355,"BADDA GIRLS HIGH SCHOOL , BADDA GIRLS SCHOOL RD , NORTH BADDA","BADDA GIRLS HIGH SCHOOL , BADDA GIRLS SCHOOL RD , NORTH BADDA",RD NORTH BADDA,23.7854175,90.4279147,Nominatim
356,9356,"SONALI BANK LTD,DHAKA MYMENSINGH HIGHWAY,SECTOR 1,DHAKA CANTONMENT","SONALI BANK LTD,DHAKA MYMENSINGH HIGHWAY,SECTOR 1,DHAKA CANTONMENT",SECTOR 1 DHAKA CANTONMENT,23.8047931,90.3986929,Nominatim
357,9357,"HOTEL GRACE 21, H 1/A, RD 21 , NIKUNJA","HOTEL GRACE 21, H 1/A, RD 21 , NIKUNJA",H 1/A RD 21 NIKUNJA,23.835798274132557,90.41677409651932,Nominatim
358,9358,"AIRPORT ROAD , NEW AIRPORT ROAD, KURMITOLA N, SECTOR 2","AIRPORT ROAD , NEW AIRPORT ROAD, KURMITOLA N, SECTOR 2",KURMITOLA N SECTOR 2,23.80480295997705,90.3980224044458,Nominatim
359,9359,"PACIFIC SPORTS GROUND , PLOT 965-1004, ROAD 15 , BLOCK I , BASHUNDHARA , DHAKA","PACIFIC SPORTS GROUND , PLOT 965-1004, ROAD 15 , BLOCK I , BASHUNDHARA , DHAKA",1004 ROAD 15 BLOCK I BASHUNDHARA DHAKA,23.82025669709862,90.44637153184888,Nominatim
360,9360,"BANGLADE4SH SPECIALLIZED HOSPITAL MIRPUR RD , SHYAMOLI","BANGLADE4SH SPECIALLIZED HOSPITAL MIRPUR RD , SHYAMOLI",MIRPUR RD SHYAMOLI,23.78222170015121,90.3505159427737,Nominatim
361,9361,"FARUK & ASSOSIATE , GREEN ROAD, KATHALBAGAN","FARUK & ASSOSIATE , GREEN ROAD, KATHALBAGAN",GREEN ROAD KATHALBAGAN,23.745800719454447,90.38521101230953,Nominatim
362,9362,"INSAF BARAKAH KINDEY & GENERAL HOSPITAL , SHAHID TAZUDDIN AHMED AVE , MOGBAZAR","INSAF BARAKAH KINDEY & GENERAL HOSPITAL , SHAHID TAZUDDIN AHMED AVE , MOGBAZAR",MOGBAZAR,23.7543737,90.40959956934496,Nominatim
364,9364,"PARK HOMES AKIRA , BLOCK K , BASHUNDHARA R/A","PARK HOMES AKIRA , BLOCK K , BASHUNDHARA R/A",BASHUNDHARA R/A,23.8166725,90.42942658076268,Nominatim
365,9365,"TANU MANSION,C 37,ROAD 3,MOHANAGAR HOUSING PROJECT,NIKETAN","TANU MANSION,C 37,ROAD 3,MOHANAGAR HOUSING PROJECT,NIKETAN",PROJECT NIKETAN,23.7659671,90.4131499,Nominatim
366,9366,"QUANTAM LA CONSTRUCTION , BANANI DOHS","QUANTAM LA CONSTRUCTION , BANANI DOHS",BANANI DOHS,23.794234722576057,90.4003372843106,Nominatim
367,9367,"KHAN BROTHERS GULSHAN , GULSHAN 1 , GULSHAN","KHAN BROTHERS GULSHAN , GULSHAN 1 , GULSHAN",GULSHAN GULSHAN 1 GULSHAN,23.787983948959024,90.41673611487955,Nominatim
368,9368,"OPSHA MART CAR , NAYA PALTAN","OPSHA MART CAR , NAYA PALTAN",NAYA PALTAN,23.73637127503201,90.4138303058539,Nominatim
371,9371,"EASTERN MOLLIKA GOLI , NEW ELEPHANT RD , DHANMONDI","EASTERN MOLLIKA GOLI , NEW ELEPHANT RD , DHANMONDI",NEW ELEPHANT RD DHANMONDI,23.73899199886276,90.38723863934514,Nominatim
372,9372,"INTERFLG TRADING AGENCY LIMITED,SECTOR 11,UTTARA","INTERFLG TRADING AGENCY LIMITED,SECTOR 11,UTTARA",LIMITED SECTOR 11 UTTARA,23.8741105,90.3910819,Nominatim
373,9373,"H 12 /K , RD 17 , BLOCK G , BASHUNDHARA R/A","H 12 /K , RD 17 , BLOCK G , BASHUNDHARA R/A",BASHUNDHARA R/A,23.8166725,90.42942658076268,Nominatim
374,9374,"TECHSAMIRBD,PALLABI,MIRPUR","TECHSAMIRBD,PALLABI,MIRPUR",PALLABI MIRPUR,23.82463715,90.36759485,Nominatim
375,9375,"WEST RAMPURA,ULON,RAMPURA","WEST RAMPURA,ULON,RAMPURA","WEST RAMPURA,ULON,RAMPURA, Dhaka, Bangladesh",23.765714000000003,90.4230067540958,Nominatim
376,9376,"FOOD STREET,PANTHAPATH","FOOD STREET,PANTHAPATH",STREET PANTHAPATH,23.7506625,90.3876017,Nominatim
377,9377,"SUBORNO REKHA , SECTOR 8 , UTTARA","SUBORNO REKHA , SECTOR 8 , UTTARA",SECTOR 8 UTTARA,23.8777293,90.4038344,Nominatim
379,9379,NAVANA SILBER DALE 33/34 NORTH BASABO,NAVANA SILBER DALE 33/34 NORTH BASABO,33/34 NORTH BASABO,23.7432489,90.4295,Nominatim
381,9381,"BEST STREET KEBAB, EIDGAH MATT , SONY HALL , MIRPUR 1","BEST STREET KEBAB, EIDGAH MATT , SONY HALL , MIRPUR 1",SONY HALL MIRPUR 1,23.8004874,90.3553934,Nominatim
382,9382,"TSC , BSMMU , SHAHBAGH , RAMNA","TSC , BSMMU , SHAHBAGH , RAMNA",BSMMU SHAHBAGH RAMNA,23.7387404,90.3938152,Nominatim
384,9384,"SHYAMOLI NR TRAVELS TECHNICAL MOR COUNTER,GOIDARTEK,DARUS SALAM,MIRPUR","SHYAMOLI NR TRAVELS TECHNICAL MOR COUNTER,GOIDARTEK,DARUS SALAM,MIRPUR",COUNTER GOIDARTEK DARUS SALAM MIRPUR,23.7828006,90.34252,Nominatim
385,9385,"HOUSE 42 , ROAD 17 , SECTOR 11 , UTTARA","HOUSE 42 , ROAD 17 , SECTOR 11 , UTTARA",42 ROAD 17 SECTOR 11 UTTARA,23.8760024,90.3904103,Nominatim
386,9386,"B BARIA ELECTRIC & DECORATORS,MIDDLE BASHABO","B BARIA ELECTRIC & DECORATORS,MIDDLE BASHABO",MIDDLE BASHABO,23.7415414,90.4319335,Nominatim
388,9388,"AMIN GENERAL STORE , H 497 , BEPARI GOLI , MOGBAZAR","AMIN GENERAL STORE , H 497 , BEPARI GOLI , MOGBAZAR",497 BEPARI GOLI MOGBAZAR,23.75065060974418,90.40824902439137,Nominatim
389,9389,"JIGATOLA MEDICARE , RD 21 , MOHAKHALI DOHS","JIGATOLA MEDICARE , RD 21 , MOHAKHALI DOHS",RD 21 MOHAKHALI DOHS,23.78090465,90.39574251401798,Nominatim
390,9390,"SINGER PLUS , H 91 , BIR UTTAM AK KHANDAKAR RD , GULSHAN 1","SINGER PLUS , H 91 , BIR UTTAM AK KHANDAKAR RD , GULSHAN 1",AK KHANDAKAR RD GULSHAN 1,23.7806557,90.41508047093998,Nominatim
391,9391,"SKY PARK , 1063, D BLOCK 6 NO ROAD , BLOCK D, BASHUNDHARA R/A","SKY PARK , 1063, D BLOCK 6 NO ROAD , BLOCK D, BASHUNDHARA R/A",D BLOCK 6 NO ROAD BLOCK D BASHUNDHARA R/A,23.81551046847158,90.43122722117783,Nominatim
392,9392,"MIRPUR NATIONAL ZOO , ZOO RD , MIRPUR 2","MIRPUR NATIONAL ZOO , ZOO RD , MIRPUR 2",ZOO ZOO RD MIRPUR 2,23.80940382549808,90.35033682585812,Nominatim
393,9393,"OBSTERICAL & GYNAECOLOGICAL SOCIETY OF BANGLADESH HOSPITAL(OGSB HOSPITAL)SECTION 13,MIRPUR","OBSTERICAL & GYNAECOLOGICAL SOCIETY OF BANGLADESH HOSPITAL(OGSB HOSPITAL)SECTION 13,MIRPUR",13 MIRPUR,23.8182441,90.3757652,Nominatim
394,9394,"JAPAN GARDEN CITY BLDG NO 10,JAPAN GARDEN CITY RD,JAPAN GARDEN CITY,
MOHAMMADPUR","JAPAN GARDEN CITY BLDG NO 10,JAPAN GARDEN CITY RD,JAPAN GARDEN CITY,
MOHAMMADPUR",NO 10 JAPAN GARDEN CITY RD JAPAN GARDEN CITY MOHAMMADPUR,23.763336,90.36322156110332,Nominatim
