location,coordinates,latitude,longitude,grid_label
"HOUSE 78, ROAD 7 , BLOCK H BANANI , DHAKA","(24.16667, 90.41667)",24.16667,90.41667,
"TOTAL SERVICE & CLEANING CENTER , ROAD 130 , GULSHAN 1 , GULSHAN","(40.4941041, -3.3416159)",40.4941041,-3.3416159,
"H 91/1 , RD 7/A , DHANMONDI","(23.74, 90.385)",23.74,90.385,R8C5
"RD 12,BLOCK D,MIRPUR 6","(23.8020146, 90.3555966)",23.8020146,90.3555966,R15C2
"307/1,PROTIVA  ROAD,AHMED NAGAR,PAIKPARA,SENPARA PARBATA,AHMED NAGAR","(24.09326, 89.34041)",24.09326,89.34041,
"4/7 BLOCK A,LALMATIA","(23.75701, 90.3738781)",23.75701,90.3738781,R10C4
"DINGI , RESIDENTIAL AREA , DHANMONDI","(23.74, 90.385)",23.74,90.385,R8C5
"NAVANA URBAN DALE,SECTION 13,MIRPUR","(23.805, 90.366)",23.805,90.366,R16C3
"SCHOLASTICA SCHOOL,HOUSE 2,ROAD 8,SECTOR 1,UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"BABRI MASJID WEST JAFRABAD , MOHAMMADPUR","(23.7659, 90.35851)",23.7659,90.35851,R11C3
"BANGLADESH EYE HOSPITAL,SAT MOSJID RD,DHANMONDI","(23.74, 90.385)",23.74,90.385,R8C5
"451/1 , WEST MONIPUR , MUKTI HOUSING , PASCHIM MONIPUR","(23.47172, 91.0612)",23.47172,91.0612,
"MODONPUR BUS STOP , DHAKA CHITTAGONG HIGH WAY , BANDAR , NARAYANGANJ, 1361","(23.8333, 90.3333)",23.8333,90.3333,R19C0
"MEDINET MEDICAL SERVICE , SHAH ALI BAG , MIRPUR 1","(23.805, 90.366)",23.805,90.366,R16C3
"BASUNDHARA D BLOCK,SERVICE ROAD,BLOCK D,BASUNDHARA R/A","(38.5, -0.5)",38.5,-0.5,
"ADOL HASAN SUPER MARKET , SHARIFPUR RD , 1711","(24.0907, 90.4878)",24.0907,90.4878,
"FACULTY OF SOCIAL SCIENCE,DU,KAZI NAZRUL ISLAM AVE,UNIVERSITY OF DHAKA","(24.16667, 90.41667)",24.16667,90.41667,
"PROPERTY ARK , ROAD 68/A, GULSHAN 2, GULSHAN","(23.7917, 90.4167)",23.7917,90.4167,R14C9
"LAB QUEST LIMITED,NORTH BADDA","(24.34671, 90.00523)",24.34671,90.00523,
"DAKSHIN PIRERBAG JAME MOSJID , 60 FEET ROAD , SOUTH PAIKPARA , MIRPUR 1 , 1000","(23.805, 90.366)",23.805,90.366,R16C3
"JABBAR TOWER , GULSHAN 1 , GULSHAN","(23.7798731, 90.4168969)",23.7798731,90.4168969,R13C9
"LABAID SPECIALIZED HOSPITAL , 6 , ROAD 4 , DHANMONDI","(23.741994, 90.3830363)",23.741994,90.3830363,R9C5
"RD 5 , PROMINENT HOUSING , MOHAMMADPUR","(23.7659, 90.35851)",23.7659,90.35851,R11C3
"REGIOMNAL PASSPORT OFFICE,UTTARA,PLOT 5,RD 4,SECTOR 12,UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"103/104 , ROAD 9 , SECTION 6","(22.8933377, 91.5339391)",22.8933377,91.5339391,
"CHAHIDA,XYZ,SECTOR 13,UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"NHA APARTMENTS,AZAD AVENUE,MOHAMMADPUR","(23.7659, 90.35851)",23.7659,90.35851,R11C3
"M/S SAGAR BUILDERS,GULSHAN 2,GULSHAN","(23.7917, 90.4167)",23.7917,90.4167,R14C9
"ORANGE & HALF CAFE , SQUARE HOSPITAL , WEST RAJABAZAR , INDIRA ROAD , PANTHAPATH","(33.750631, -117.8722311)",33.750631,-117.8722311,
"NIJHUM RESIDENTIAL AREA,JIGATOLA,DHAKA","(23.7370106, 90.3701235)",23.7370106,90.3701235,R8C4
"KOLLOL VILLA , 97/2 , GREEN ROAD , TEJGAON","(23.76296, 90.38971)",23.76296,90.38971,R11C6
"DEPRESSED ZONE,GULSHAN 1","(23.7917, 90.4167)",23.7917,90.4167,R14C9
"QUAMROOM NOOR, H 9/1, IQBAL RD , MOHAMMADPUR","(23.7659, 90.35851)",23.7659,90.35851,R11C3
"DHAKA CENTRAL INTERNATIONAL MEDICAL COLLEGE & HOSPITAL,RING RD,SHYAMOLI","(23.773731, 90.3613968)",23.773731,90.3613968,R12C3
"ISCKON GOVINDA HOTEL,KOARTI TOLA RD,NARINDA","(23.71275, 90.41671)",23.71275,90.41671,R5C8
"108 & 109, SARAK 10 1 , ABSHUNDHARA R/A","(64.1253134, -21.871995)",64.1253134,-21.871995,
"SADIYA PHOTOCOPY AND TELECOM , PURBA GORAN","(23.75027, 90.43413)",23.75027,90.43413,R9C10
"H 259.RD 9,KHILGAON","(23.75722, 90.46443)",23.75722,90.46443,R10C13
"QUARTER ROAD,SENPARA PARBATA,MIRPUR","(23.805, 90.366)",23.805,90.366,R16C3
"BANGLADESH TORIQAT FEDARETION ( B.T.F ) , RESIDENTIAL AREA , DHANMONDI","(23.74, 90.385)",23.74,90.385,R8C5
"AB BANK LIMITED ATM , SHANTINAGAR KAKRAIL","(23.73333, 90.4)",23.73333,90.4,R8C7
"HARIBAR GULSHAN,GULSHAN 2","(23.7917, 90.4167)",23.7917,90.4167,R14C9
"GALIB SARANI , TEJKUNIPARA","(23.76667, 90.41667)",23.76667,90.41667,R11C9
"BUSINESS FACULTY ACADEMIC BUILDING,JASIMUDDIN HALL RD,UNIVERSITY OF DHAKA","(24.16667, 90.41667)",24.16667,90.41667,
"RANKHOLA MARKET JAME MASJID,ZOO RD,MIRPUR 2","(23.805, 90.366)",23.805,90.366,R16C3
"SIDDHIRGANJ HOUSING JAME MASJID,SIDDHIRGANJ HOUSING RD 1,SIDDHIRGANJ,NARAYANGANJ,1361","(23.61352, 90.50298)",23.61352,90.50298,
"QUEENS KULSUM GARDEN , H 25 , RD 10 , SOUTH BANASHREE PROJECT , RAMPURA","(23.76261, 90.42051)",23.76261,90.42051,R11C9
"RD 10 , SECTOR 4 , UTTARA","(23.8774676, 90.390129)",23.8774676,90.390129,R24C6
"IFIC BANK LIMITED ( RAYER BAZAR SUB-BRANCH ), RAYER BAZAR ,MOHAMMADPUR","(23.7659, 90.35851)",23.7659,90.35851,R11C3
"MERCANT GROUP , ROAD 11, SECTOR 9 UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"DHAKA CITY COLLEGE,RD 2,DHANMONDI","(23.74, 90.385)",23.74,90.385,R8C5
"BLUS HEADQUARTER.726/12,ADABOR 10,MOHAMMADPUR","(23.7659, 90.35851)",23.7659,90.35851,R11C3
"SANIAS KITCHEN,JIGATOLA,DHANMONDI","(23.74, 90.385)",23.74,90.385,R8C5
"MANHA IBRAHIM HOME . HOUSE 117 , 119 , RANAVOLA AVENUE . SECTOR 10 , UTTARA 1230. DHAKA .","(33.37312, 44.44557)",33.37312,44.44557,
"BNS CENTER , RD 5 , SECTOR 7 , UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"EMBASSY OF QATAR,RD 79,GULSHAN 2","(23.7917, 90.4167)",23.7917,90.4167,R14C9
KALABAGAN BUS STOP MIRPUR RD,"(23.7475556, 90.3805653)",23.7475556,90.3805653,R9C5
"TOWHID FOUNDATION , TOLARBAG ,  MIRPUR 1","(23.805, 90.366)",23.805,90.366,R16C3
"UTTARA CRESCENT HOSPITAL , RABINDRA SARANI , SECTOR 3 , UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"SHAPTAK MAGNOLIA,HOUSE 409,SHAHID BAKI ROAD,CHOWDHURY PARA,KHILGAON","(23.75722, 90.46443)",23.75722,90.46443,R10C13
"SAIFURS IT,SECTOR 13,UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
DARAZ SORT CENTER TEJGAON,"(23.76296, 90.38971)",23.76296,90.38971,R11C6
"ELANO , DOHS , MIRPUR","(23.805, 90.366)",23.805,90.366,R16C3
"VOOTER ADDA , SHAHID BAKI RD , KHILGAON","(23.75722, 90.46443)",23.75722,90.46443,R10C13
"UTTARA 14 BAZAR,SECTOR 14","(23.8680706, 90.3829193)",23.8680706,90.3829193,R23C5
"IBN SINA , H 27/4, PALASHI RD , LALBAGH","(23.71739, 90.38787)",23.71739,90.38787,R6C5
"PARINEETA FASHION,SYED NAGAR,NOTUN BAZAR","(25.74442, 88.49186)",25.74442,88.49186,
"GREENLAND HOSPITAL LTD,ROAD 13 BHATULIA MOUZA,UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"SOFT CLICK , SECTOR 12 , UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"BONI & JONY STORE,KESHAB BENARJEE RD,FARASHGANJ","(-3.1789084, 120.6848131)",-3.1789084,120.6848131,
"MONIPUR SCHOOL AND COLLEGE  , 60  FEET RD , BOROBAG  , MIRPUR 2","(23.805, 90.366)",23.805,90.366,R16C3
"GOSHBAG JAME MASJID,ASHULIA HIGHWAY,RUSTAMPUR,ASHULIA,1341","(24.3137, 89.6089)",24.3137,89.6089,
SAMEN FOOTWEAR EAST GORAN,"(23.75027, 90.43413)",23.75027,90.43413,R9C10
"RD 4,SECTOR 11,UTTARA","(23.8758406, 90.3932321)",23.8758406,90.3932321,R23C6
"BAKE ELEGANCE , MANIKDE AMTOLA RD , MANIKDI , DHAKA CANTONMENT","(23.82444, 90.40556)",23.82444,90.40556,R18C8
"FAIRYTALE (BEAUTY PARLOUR AND FASHION HOUSE ), SECTOR 11, UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"AHSANIA MISSION CANCER & GENRAL HOSPITAL,DHAKA ASHULIA HIGHWAY,SECTOR 10,UTTARA","(23.8036477, 90.3773328)",23.8036477,90.3773328,R15C5
"KHUSHBU  BIRIANI HOUSE , GULSHAN 2, GULSHAN","(23.7917, 90.4167)",23.7917,90.4167,R14C9
"BAITUL MAMUR JAME MASJID , SCHOOL RD , EAST RAMPURA","(23.76261, 90.42051)",23.76261,90.42051,R11C9
"H 213 , RD 7 , KHILGAON","(23.75722, 90.46443)",23.75722,90.46443,R10C13
"SUMAN GENERAL,ASHULIA HIGHWAY,RUSTAMPUR,ASHULIA 1341","(24.3137, 89.6089)",24.3137,89.6089,
"TSC MOOREBAN,TSC MOR,UNIVERSITY OF DHAKA","(24.16667, 90.41667)",24.16667,90.41667,
"UTTARA CENTER METRO STATION,SECTOR 15","(23.8597545, 90.3652035)",23.8597545,90.3652035,R22C3
"VATARA MOR JAME MASJID , VATARA ROAD , NATUN BAZAR , BADDA , 1000","(24.34671, 90.00523)",24.34671,90.00523,
"H 19,RD 12,MOHAMMADI HOUSING SOCIETY,MOHAMMADPUR","(23.7659, 90.35851)",23.7659,90.35851,R11C3
"MOMOTAJ SHOPPING COMPLEX , CHAD UDDAN  HOUSING , MOHAMMADPUR","(23.7659, 90.35851)",23.7659,90.35851,R11C3
"HAZARIBAG PARK , HAZARIBAG","(23.66603, 90.44659)",23.66603,90.44659,R0C11
"H 21 , ATISH DIPANKAR RD , BASABO","(23.7259354, 90.4286922)",23.7259354,90.4286922,R7C10
"H 33/6, TAJMAHAL RD , MOHAMMADPUR","(23.7659, 90.35851)",23.7659,90.35851,R11C3
"RELIANCE AMIN VILLA,HOUSE 492,ABDUR SADEK ROAD,BLOCK  F,BASHUNDHARA R/A","(-9.376, -171.233)",-9.376,-171.233,
"DECK 41 , 47 , ROAD 41 , GULSHAN 2 , GULSHAN","(23.7903402, 90.4126444)",23.7903402,90.4126444,R14C8
"AMIR CONFECTIONARY AND GENERAL STORE , BLOCK C , MIRPUR 1","(23.805, 90.366)",23.805,90.366,R16C3
"BAITUL AMAN JAME MASJID , ARAMBAG RESIDENTIAL AREA , MIRPUR 7","(23.805, 90.366)",23.805,90.366,R16C3
"SUNNYDALE,H 19/A,SABRINA SOBHAN 4TH AVENUE,BLOCK H, BASUNDHARA R/A","(52.44889, 9.74)",52.44889,9.74,
"CONCORD ( RESIDENTIAL ) TOWER , H 113 , KAZI NAZRUL ISLAM AVE , KAWRANBAZAR , RAMNA","(23.73333, 90.4)",23.73333,90.4,R8C7
"UNITED PENTECOSTAL CHURCH OF BANGLADESH,MIRPUR 2","(23.805, 90.366)",23.805,90.366,R16C3
"UCY , SECTOR 18 , UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"ROAD 2,HOUSE 4,BLOCK E,MIRPUR 2,1000","(23.729, 90.4112)",23.729,90.4112,R7C8
"93,ROAD 12, C","(23.7729313, 90.4277866)",23.7729313,90.4277866,R12C10
MA O SHISHU SHASTHO HOSPITAL SALIMULLAH ROAD MOHAMMADPUR,"(23.7659, 90.35851)",23.7659,90.35851,R11C3
"MASJIDUL AKBAR,RD 9,MIRPUR 1","(23.8018937, 90.3534812)",23.8018937,90.3534812,R15C2
"SHAWARMA HOUSE ( 60 FEET BRANCH ) , BAREK MOLLAR MORE , MIRPUR","(23.805, 90.366)",23.805,90.366,R16C3
"BONEDI BAZAR,SECTOR 7,UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"EXPORT ZONE , 02, PALLABI , MIRPUR 12","(23.805, 90.366)",23.805,90.366,R16C3
PROBASH MOHANAGAR PROKOLPO RAMPURA,"(23.76261, 90.42051)",23.76261,90.42051,R11C9
"PALLIMA SANGHSAD,H 841 C,SHAHID BAKI SARAK,TALTOLA,KHILGAON","(23.75722, 90.46443)",23.75722,90.46443,R10C13
"GREENLINE BUS , OUTER CIRCULAR RD , RAJARBAG , SHANTIBAGH , MALIBAGH","(23.7417046, 90.4181239)",23.7417046,90.4181239,R9C9
"24, GREENWAY ROAD , WIRELESS, MOGBAZAR","(23.752819, 90.4075804)",23.752819,90.4075804,R10C8
"DOINIK SHONDHANI , BARTA , BLOCK D , MIRPUR 12","(23.805, 90.366)",23.805,90.366,R16C3
HOUSE KA-9A ROAD 12 BLOCK K BARIDHARA,"(23.80254, 90.42117)",23.80254,90.42117,R15C9
"ANWAR KHAN MODERN MEDICAL COLLEGE , RD 7 , DHANMONDI","(23.74, 90.385)",23.74,90.385,R8C5
"NURERCHALA KANCHA BAZAR , NURER CHALA KACHA BAZAR , NOTUN BAZAR","(25.74442, 88.49186)",25.74442,88.49186,
"HOUSE 33,ROAD 13,SECTOR 12,UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"CAPITAL BOOK BINDING WORKS , TIKATULI , WARI","(23.71667, 90.41667)",23.71667,90.41667,R6C8
"RD 18 , SECTOR 7 , UTTARA","(23.872197, 90.3944093)",23.872197,90.3944093,R23C6
"RD 10A, RANAVOLA , UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"POLICE CONVENTION HALL,OLD ELEPHANT RD,OLD ESKATON","(23.7450103, 90.4020768)",23.7450103,90.4020768,R9C7
"UNIMED UNI HEALTH , RD 27 , DHANMONDI","(23.74, 90.385)",23.74,90.385,R8C5
"RD 71,GULSHAN 2","(23.7947055, 90.4023902)",23.7947055,90.4023902,R14C7
"AMARYLLIS , HOUSE 1207 , ROAD 10 , DOHS , MIRPUR","(23.805, 90.366)",23.805,90.366,R16C3
"AL MAMUN GENERAL STORE,161,EAST RAJABAZAAR,DHANMONDI","(23.74, 90.385)",23.74,90.385,R8C5
"RD 15,MOHAKHALI DOHS","(23.7807594, 90.3952941)",23.7807594,90.3952941,R13C6
"MEET N CHEEZ,RUPNAGAR R/A,MIRPUR 2","(23.805, 90.366)",23.805,90.366,R16C3
"LOVELY CINEMA HALL , DHAKA SYLHET HIGHWAY , KATCHPUR , NARAYANGANJ , 1361","(23.8333, 90.3333)",23.8333,90.3333,R19C0
"MONTANA LOUNGE,GULSHAN 2,GULSHAN","(23.7917, 90.4167)",23.7917,90.4167,R14C9
"IBA,UNIVERSITY OF DHAKA,JASIMUDDIN HALL RD,UNIVERSITY OF DHAKA","(24.16667, 90.41667)",24.16667,90.41667,
"JABA NILOY , HOUSE 5F/7F , ROAD 11, SECTOR 3 , UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"SOI7,ROAD 7,DHANMONDI","(23.74, 90.385)",23.74,90.385,R8C5
"ECB CHATTAR , MATIKATA","(23.8225769, 90.3934333)",23.8225769,90.3934333,R18C6
"INTER CONTINENTAL DHAKA 1, MINTO ROAD , WIRELESS , PALTAN","(23.73625, 90.41426)",23.73625,90.41426,R8C8
"WELKIN TELECOM INFRA(BD) PRIVATE LIMITED , ROAD 29, GULSHAN 1, GULSHAN","(23.7917, 90.4167)",23.7917,90.4167,R14C9
"MA STATIONARY ,S ECTOR 11, UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"HITECH MULTICARE HOSPITAL , SOUTH KAFRUL RD , SOUTH KAFRUL , KAFRUL","(23.78822, 90.37359)",23.78822,90.37359,R14C4
"KHAJA MONJIL,2/10,ROAD NO 7,LALMATIA","(24.43374, 88.45688)",24.43374,88.45688,
"IBN SINA DIAGONISTIC & CONSULTATION CENTER(BADDA),BHABAN 2,NORTH BADDA","(23.7452734, 90.3724108)",23.7452734,90.3724108,R9C4
"SHIMANTO CONVENTION CENTER , RESIDENTIAL AREA , DHANMONDI","(23.7380307, 90.3776137)",23.7380307,90.3776137,R8C4
"BIHONGO 3/D,SHAHEED MOINUR ROAD,DHAKA CANTONMENT,DHAKA","(24.16667, 90.41667)",24.16667,90.41667,
"H 8 , RD 16 , NIKUNJA 2","(23.8339024, 90.4164755)",23.8339024,90.4164755,R19C9
"MUSLIM BAZAR , BLOCK D, MIRPUR 12","(23.805, 90.366)",23.805,90.366,R16C3
"HOUSE 07,ROAD 11,SECTOR 06,UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"WILLES LITTLE FLOWER SCHOOL AND COLLEGE,KAKRAIL","(23.738205, 90.4073127)",23.738205,90.4073127,R8C8
"KIB CONVENTION HALL , KHAMAR BARI ROAD , KHAMAR BARI","(23.7592844, 90.3854588)",23.7592844,90.3854588,R11C5
"NHA GARDEN CITY SHYAMOLI,BUILDING 5,MOHAMMADPUR","(23.7659, 90.35851)",23.7659,90.35851,R11C3
"SKY DINE ROOFTOP RESTURANT,ROAD 4,NIKETON,GULSHAN","(23.7917, 90.4167)",23.7917,90.4167,R14C9
"DHAKA DECOR,SECTOR 7,UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"TARBUSH ARABIAN RESTAURANT , ROAD 83 , GULSHAN  2 , GULSHAN","(23.7917, 90.4167)",23.7917,90.4167,R14C9
"IEB TENNIS COURTS, MAOLANA BHASANI ROAD, FAKIRAPOOL, PALTAN","(23.7333127, 90.4013399)",23.7333127,90.4013399,R8C7
"KALABAGAN BUS STOP , MIRPUR RD , DHANMONDI","(23.7475556, 90.3805653)",23.7475556,90.3805653,R9C5
"CURE MEDICAL CENTER & HOSPITAL,GULSHAN 2","(0.2867515, 32.5688322)",0.2867515,32.5688322,
"SHYAMPUR BUS STOP , DHAKA NARYANGANJ LINK ROAD , FARIODABAD , KERANIGANJ","(24.75003, 88.07271)",24.75003,88.07271,
"PRINCE BAZAR LTD,SHYAMOLI,MOHAMMADPUR","(23.7659, 90.35851)",23.7659,90.35851,R11C3
"JAFRAN RESTAURA AND CATERING , SECTOR 13 , UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"TASTEBUD BANANI , ROAD 12A , BANANI MODEL TOWN","(23.79142, 90.40491)",23.79142,90.40491,R14C7
"m/s antora pharmacy , mirpur road , taltola , shyamoli","(23.77438, 90.36538)",23.77438,90.36538,R12C3
"REZA AUTO DRY CLEANERS , H 26/1 , TAJMAHAL RD , MOHAMMADPUR","(23.7659, 90.35851)",23.7659,90.35851,R11C3
"GERMAN CLUB , GULSHAN 2 , GULSHAN","(23.793577, 90.4197537)",23.793577,90.4197537,R14C9
"SKY LOUNGE , BLOCK D , MIRPUR 2","(23.805, 90.366)",23.805,90.366,R16C3
"LONDON INTERNATIONAL SCHOOL  , ROAD 1 ,  BLOCK  A , GULSHAN 1 , GULSHAN","(23.7917, 90.4167)",23.7917,90.4167,R14C9
"DIABARI GREEN CITY SECTOR 15,UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"NARAIL AIR TRAVELS AND TOURS, SECTOR 15, UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"LIGHTHOUSE INTERNATIONAL SCHOOL (LTS) , ROAD 23 , GULSHAN 1 , GULSHAN","(23.7917, 90.4167)",23.7917,90.4167,R14C9
"BONDHU HOTEL & RESTAURANT , KHILKHET SHEIKH  SHAHEB PARA","(23.6735594, 90.5199375)",23.6735594,90.5199375,
"RIAZ GENERAL STORE , H 34 , RD 4 , SECTOR 11 , UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"EMBASSY OF DENMARK,MADANI SARANI,GULSHAN NORTH AVENUE,GULSHAN 22","(23.7917, 90.4167)",23.7917,90.4167,R14C9
"JAHAN ARA CLINIC LTD,SECTOR 1,UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"LOMON TEA STORE , RAJBARI","(23.66667, 89.55)",23.66667,89.55,
"GC STREET,SECTOR 7,UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"BAGHA CLUB , ROAD 44 , GULSHAN 2 , GULSHAN","(23.7919042, 90.4142002)",23.7919042,90.4142002,R14C8
"KACCHI BHAI, BASUNDHARA ROAD, BASUNDHARA MAIN GATE, BASUNDHARA R/A","(38.5, -0.5)",38.5,-0.5,
"HOTEL 71, SAYED NAZRUL ISLAM SHARANI , FAKIRAPOOL , PALTAN","(23.73625, 90.41426)",23.73625,90.41426,R8C8
"JISAN CONVENTION CENTREM,ZINZIRA RAMERKANDA RD,KERANIGANJ","(24.75003, 88.07271)",24.75003,88.07271,
"NUMBER 11 GOLI , GOPIBAG , JATRABARI","(23.720033, 90.4252828)",23.720033,90.4252828,R6C9
"MDC MODEL  SCHOOL AND COLLEGE , BLOCK B , MIRPUR 12","(23.805, 90.366)",23.805,90.366,R16C3
"BASHUNDHARA D BLOCK ,SERVICE ROAD , BLOCK D , BASHUDNHARA R/A","(38.5, -0.5)",38.5,-0.5,
"BANGLADESH TELIVISION (BTV),TV RD,EAST RAMPURA","(23.76261, 90.42051)",23.76261,90.42051,R11C9
"BRAC UNIVERSITY (NEW CAMPUS),DIT RD,MERUL BADDA","(24.34671, 90.00523)",24.34671,90.00523,
"STAR CINEPLEX , BANGABANDHU MILITARY MUSEUM , BIJOY SARANI , DHAKA","(24.16667, 90.41667)",24.16667,90.41667,
"BIJOY RAKEEN , LINE 3, MIRPUR 13","(23.805, 90.366)",23.805,90.366,R16C3
"SUMON TEA STORE , SHYAMOLI , MUHAMMADPUR","(23.40153, 89.59731)",23.40153,89.59731,
"SIGREE , H 1, RD 12 , BLOCK B, MIRPUR 12","(23.805, 90.366)",23.805,90.366,R16C3
"CLOUD COFEE,WEST SHEWRAPARA,MIRPUR","(23.805, 90.366)",23.805,90.366,R16C3
"100,ROAD 13A,BANANI","(23.7913307, 90.4048586)",23.7913307,90.4048586,R14C7
"PRESIDENCY UNIVERSITY , 11 A ROAD 92 GULSAHN 2 GULSHAN","(23.7917, 90.4167)",23.7917,90.4167,R14C9
"MODHUMOTI MODEL TOWN,1347","(24.3137, 89.6089)",24.3137,89.6089,
"GOLARTEK EIDHGAH MASJID , GOLARTEK MASJID RD , PALPARA","(24.39518, 88.82721)",24.39518,88.82721,
"KHALID BIN WALID MASJID , ROAD 6A , SECTOR 10 , UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"BGMEGA COMPLEX , SECTOR 17 , UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"IBN SINA DIAGNOSTIC & CONSULTATION CENTER,GARIB E NEWAZ AVE,SECTOR 13,UTTARA","(23.8082653, 90.357622)",23.8082653,90.357622,R16C3
"DHAKA COMMERCE COLLEGE,MIRPUR 2","(23.806746, 90.3529347)",23.806746,90.3529347,R16C2
"SUGARBD,COM,ROAD 9,SECTOR 3,UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"deputy police commissioner's office (west) dmp , iqbal road , mohammadpur","(23.7659, 90.35851)",23.7659,90.35851,R11C3
"RIYAD STORE , H 18/13/A , TOLLABAG LN , WEST DHANMONDI","(23.74, 90.385)",23.74,90.385,R8C5
"H 21,RD 22,BANANI","(23.795584, 90.4071866)",23.795584,90.4071866,R15C8
"ANWAR KHAN MODERN MEDICAL COLLEGE , H 22 , RD 8 , DHANMONDI","(23.74, 90.385)",23.74,90.385,R8C5
"CAFE PIZZA HOUSE , SECTOR 7 , UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"741 742 , SABRINA SOBHAN 4TH AVENUE ROAD , BLOCK D , BASUNDHARA R/A","(38.5, -0.5)",38.5,-0.5,
"DREAM LAND 3 , VATAPARA RD , SAVAR , 1340","(23.8442, 90.2511)",23.8442,90.2511,
"DHANMONDI 9/A , WEST DHANMONDI","(23.7460225, 90.3738966)",23.7460225,90.3738966,R9C4
"P0LIC CONVENTION HALL, OLD ELEPHANT ROAD, WIRELESS, PALTAN","(23.73625, 90.41426)",23.73625,90.41426,R8C8
"CAMBRIAN SCHOOL AND COLLEGE , SUGANDHA ROAD , NARAYANGANJ","(23.61352, 90.50298)",23.61352,90.50298,
"KHANPUR LAL MOSQUE , KHANPUR MAIN RD , KHANPUR , NARAYANGANJ SADAR , NARAYANGANJ , 1400","(23.61352, 90.50298)",23.61352,90.50298,
"JIYON BOUTIQUE RESORT,MODHUMOTI MODEL TOWN,AMINBAZAR","(23.78457, 90.33013)",23.78457,90.33013,
"ASSOLOATE , RESIDENTIAL AREA , DHANMONDI","(23.74, 90.385)",23.74,90.385,R8C5
"H 11, KADAMTALA HIGH SCHOOL RD , SABUJBAG","(23.03077, 89.38848)",23.03077,89.38848,
"STATE BANK OF INDIA , COUNTRY OFFICE BANGLADESH OPERATIONS , GULSHAN 2","(23.7917, 90.4167)",23.7917,90.4167,R14C9
"FAYZA FASHION TAILORS , H 40/B , RD 4/A , JIGATALA","(25.15867, 89.66515)",25.15867,89.66515,
"H 32/A ,STATION RD , TEJKUNIPARA","(23.76667, 90.41667)",23.76667,90.41667,R11C9
"UTTARA UNIVERSITY,MIRPUR RD,UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"INNER CIRCLE PRIVATE LIMITED , ROAD - 113/A, GULSHAN 2, GULSHAN","(23.7917, 90.4167)",23.7917,90.4167,R14C9
"SUCHONA COMMUNITY CENTER , RING RD , MOHAMMADPUR","(23.7659, 90.35851)",23.7659,90.35851,R11C3
"HOUSE 34 , ROAD 11 , SECTOR 4 , UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"MANARAT INTERNATIONAL UNIVERSITY  ( GULSHAN CAMPUS ) , ROAD 106 , GULSHAN 2 , GULSHAN","(23.7917, 90.4167)",23.7917,90.4167,R14C9
"MULOVI SALEK LANE,WEST DHANMONDI","(23.7417419, 90.3702009)",23.7417419,90.3702009,R9C4
"SHAINIK CLUB BUS STOP  , BANANI","(23.7906785, 90.4002024)",23.7906785,90.4002024,R14C7
"PREZZIE , ROAD 27 ( OLD ), DHANMONDI","(23.74, 90.385)",23.74,90.385,R8C5
"AJOMPUR RAIL GATE,SECTOR 4,UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
HOUSE 17 ROAD 14 SECTOR 3 UTTARA,"(23.8667, 90.4)",23.8667,90.4,R22C7
"WORLD BANK SYED MAHBUB MORSHED AVE , SHER E BANGLA NAGAR","(23.7736857, 90.373312)",23.7736857,90.373312,R12C4
39/6 EAST HAZI PARA ( BOY BAZAR ) RAMPURA DHAKA,"(24.16667, 90.41667)",24.16667,90.41667,
"MASTER BARI , NURPUR","(23.20128, 89.18382)",23.20128,89.18382,
